YEAR,GRADE,WIDA_BAND,N,ilearn_prof_rate,suppress
2023,3,<4.0,6102,0.048,FALSE
2023,3,4.0-4.2,947,0.295,FALSE
2023,3,4.3-4.9 (provisional),1279,0.552,FALSE
2023,3,>=5.0 (auto-exit),386,0.85,FALSE
2023,4,<4.0,3386,0.008,FALSE
2023,4,4.0-4.2,1085,0.065,FALSE
2023,4,4.3-4.9 (provisional),2315,0.217,FALSE
2023,4,>=5.0 (auto-exit),1595,0.601,FALSE
2023,5,<4.0,3043,0.005,FALSE
2023,5,4.0-4.2,959,0.028,FALSE
2023,5,4.3-4.9 (provisional),2060,0.122,FALSE
2023,5,>=5.0 (auto-exit),1184,0.39,FALSE
2023,6,<4.0,4711,0.03,FALSE
2023,6,4.0-4.2,756,0.116,FALSE
2023,6,4.3-4.9 (provisional),624,0.345,FALSE
2023,6,>=5.0 (auto-exit),52,0.654,FALSE
2023,7,<4.0,4566,0.014,FALSE
2023,7,4.0-4.2,761,0.134,FALSE
2023,7,4.3-4.9 (provisional),747,0.27,FALSE
2023,7,>=5.0 (auto-exit),113,0.646,FALSE
2023,8,<4.0,4348,0.019,FALSE
2023,8,4.0-4.2,777,0.138,FALSE
2023,8,4.3-4.9 (provisional),850,0.328,FALSE
2023,8,>=5.0 (auto-exit),126,0.683,FALSE
2024,3,<4.0,6291,0.037,FALSE
2024,3,4.0-4.2,1006,0.271,FALSE
2024,3,4.3-4.9 (provisional),1337,0.527,FALSE
2024,3,>=5.0 (auto-exit),440,0.843,FALSE
2024,4,<4.0,4200,0.008,FALSE
2024,4,4.0-4.2,1003,0.067,FALSE
2024,4,4.3-4.9 (provisional),2390,0.236,FALSE
2024,4,>=5.0 (auto-exit),1618,0.654,FALSE
2024,5,<4.0,3475,0.004,FALSE
2024,5,4.0-4.2,857,0.033,FALSE
2024,5,4.3-4.9 (provisional),2096,0.132,FALSE
2024,5,>=5.0 (auto-exit),1272,0.405,FALSE
2024,6,<4.0,5277,0.025,FALSE
2024,6,4.0-4.2,795,0.171,FALSE
2024,6,4.3-4.9 (provisional),762,0.357,FALSE
2024,6,>=5.0 (auto-exit),87,0.713,FALSE
2024,7,<4.0,4929,0.019,FALSE
2024,7,4.0-4.2,827,0.133,FALSE
2024,7,4.3-4.9 (provisional),901,0.299,FALSE
2024,7,>=5.0 (auto-exit),150,0.773,FALSE
2024,8,<4.0,4686,0.02,FALSE
2024,8,4.0-4.2,829,0.145,FALSE
2024,8,4.3-4.9 (provisional),1091,0.296,FALSE
2024,8,>=5.0 (auto-exit),232,0.672,FALSE
2025,3,<4.0,6598,0.041,FALSE
2025,3,4.0-4.2,1102,0.274,FALSE
2025,3,4.3-4.9 (provisional),1636,0.509,FALSE
2025,3,>=5.0 (auto-exit),485,0.827,FALSE
2025,4,<4.0,4078,0.008,FALSE
2025,4,4.0-4.2,1044,0.063,FALSE
2025,4,4.3-4.9 (provisional),2414,0.185,FALSE
2025,4,>=5.0 (auto-exit),1651,0.549,FALSE
2025,5,<4.0,3699,0.005,FALSE
2025,5,4.0-4.2,872,0.044,FALSE
2025,5,4.3-4.9 (provisional),2135,0.124,FALSE
2025,5,>=5.0 (auto-exit),1376,0.359,FALSE
2025,6,<4.0,5245,0.016,FALSE
2025,6,4.0-4.2,814,0.131,FALSE
2025,6,4.3-4.9 (provisional),762,0.339,FALSE
2025,6,>=5.0 (auto-exit),98,0.714,FALSE
2025,7,<4.0,5330,0.01,FALSE
2025,7,4.0-4.2,861,0.086,FALSE
2025,7,4.3-4.9 (provisional),1025,0.213,FALSE
2025,7,>=5.0 (auto-exit),203,0.616,FALSE
2025,8,<4.0,4730,0.018,FALSE
2025,8,4.0-4.2,889,0.115,FALSE
2025,8,4.3-4.9 (provisional),1248,0.275,FALSE
2025,8,>=5.0 (auto-exit),297,0.599,FALSE
2026,3,<4.0,6477,0,FALSE
2026,3,4.0-4.2,1210,0,FALSE
2026,3,4.3-4.9 (provisional),1816,0,FALSE
2026,3,>=5.0 (auto-exit),585,0,FALSE
2026,4,<4.0,2799,0,FALSE
2026,4,4.0-4.2,1091,0,FALSE
2026,4,4.3-4.9 (provisional),2698,0,FALSE
2026,4,>=5.0 (auto-exit),1927,0,FALSE
2026,5,<4.0,2950,0,FALSE
2026,5,4.0-4.2,992,0,FALSE
2026,5,4.3-4.9 (provisional),2133,0,FALSE
2026,5,>=5.0 (auto-exit),1346,0,FALSE
2026,6,<4.0,4847,0,FALSE
2026,6,4.0-4.2,875,0,FALSE
2026,6,4.3-4.9 (provisional),844,0,FALSE
2026,6,>=5.0 (auto-exit),94,0,FALSE
2026,7,<4.0,4683,0,FALSE
2026,7,4.0-4.2,906,0,FALSE
2026,7,4.3-4.9 (provisional),1105,0,FALSE
2026,7,>=5.0 (auto-exit),156,0,FALSE
2026,8,<4.0,4533,0,FALSE
2026,8,4.0-4.2,943,0,FALSE
2026,8,4.3-4.9 (provisional),1364,0,FALSE
2026,8,>=5.0 (auto-exit),275,0,FALSE
