YEAR,GRADE,family,n,loglik,aic,bic,tau,rho,df,lambda_lower,lambda_upper,converged,best_aic
2018,3,frank,7121,2893.5853,-5785.1705,-5778.2997,0.5552,0.7557,,0,0,TRUE,FALSE
2018,3,gaussian,7121,2994.6867,-5987.3734,-5980.5026,0.5444,0.739,,0,0,TRUE,FALSE
2019,4,t,7334,2876.3787,-5748.7575,-5734.9569,0.5285,,168.571,0,0,TRUE,FALSE
2019,4,frank,7334,2835.4568,-5668.9136,-5662.0133,0.5422,0.7417,,0,0,TRUE,FALSE
2019,4,gaussian,7334,2876.9033,-5751.8066,-5744.9064,0.5283,0.7216,,0,0,TRUE,TRUE
2021,6,t,5263,1752.8263,-3501.6526,-3488.5157,0.4923,,57.0171,0.0022,0.0022,TRUE,FALSE
2021,6,frank,5263,1681.3187,-3360.6375,-3354.069,0.5011,0.6959,,0,0,TRUE,FALSE
2021,6,gaussian,5263,1751.8535,-3501.7071,-3495.1386,0.4918,0.6808,,0,0,TRUE,TRUE
2022,7,t,5733,2027.3628,-4050.7255,-4037.4175,0.5059,,39.9144,0.0124,0.0124,TRUE,TRUE
2022,7,frank,5733,1989.7558,-3977.5117,-3970.8577,0.519,0.7163,,0,0,TRUE,FALSE
2022,7,gaussian,5733,2024.048,-4046.0961,-4039.4421,0.5047,0.6955,,0,0,TRUE,FALSE
2023,8,t,6101,2420.3192,-4836.6384,-4823.206,0.5315,,84.294,6e-04,6e-04,TRUE,FALSE
2023,8,frank,6101,2406.3995,-4810.799,-4804.0828,0.5473,0.7473,,0,0,TRUE,FALSE
2023,8,gaussian,6101,2419.7651,-4837.5303,-4830.8141,0.5309,0.7245,,0,0,TRUE,TRUE
2024,7,t,6807,2846.0108,-5688.0217,-5674.3703,0.5439,,57.4241,0.0058,0.0058,TRUE,FALSE
2024,7,frank,6807,2902.6011,-5803.2022,-5796.3765,0.5661,0.767,,0,0,TRUE,TRUE
2024,7,gaussian,6807,2846.3485,-5690.697,-5683.8713,0.5431,0.7375,,0,0,TRUE,FALSE
2025,8,t,7164,2354.5036,-4705.0072,-4691.2535,0.4906,,50.7846,0.0037,0.0037,TRUE,FALSE
2025,8,frank,7164,2533.5664,-5065.1327,-5058.2559,0.5235,0.7213,,0,0,TRUE,TRUE
2025,8,gaussian,7164,2351.8324,-4701.6648,-4694.788,0.4887,0.6773,,0,0,TRUE,FALSE
2022,6,t,5725,1910.8145,-3817.6289,-3804.3237,0.4925,,161.5703,0,0,TRUE,FALSE
2022,6,frank,5725,1813.3121,-3624.6241,-3617.9715,0.497,0.6912,,0,0,TRUE,FALSE
2022,6,gaussian,5725,1911.3993,-3820.7986,-3814.146,0.4924,0.6815,,0,0,TRUE,TRUE
2023,7,t,6187,2257.0553,-4510.1107,-4496.6503,0.5124,,83.0342,4e-04,4e-04,TRUE,FALSE
2023,7,frank,6187,2237.9867,-4473.9733,-4467.2431,0.5279,0.7262,,0,0,TRUE,FALSE
2023,7,gaussian,6187,2256.6869,-4511.3737,-4504.6435,0.5119,0.7036,,0,0,TRUE,TRUE
2024,8,t,6838,2721.6113,-5439.2226,-5425.5621,0.5333,,37.972,0.0215,0.0215,TRUE,FALSE
2024,8,frank,6838,2842.5348,-5683.0696,-5676.2393,0.5613,0.762,,0,0,TRUE,TRUE
2024,8,gaussian,6838,2717.6754,-5433.3507,-5426.5205,0.5313,0.7249,,0,0,TRUE,FALSE
2019,3,t,7673,3048.7017,-6093.4034,-6079.5124,0.532,,52.4388,0.0068,0.0068,TRUE,FALSE
2019,3,frank,7673,3027.3821,-6052.7642,-6045.8188,0.5475,0.7475,,0,0,TRUE,FALSE
2019,3,gaussian,7673,3047.774,-6093.5479,-6086.6024,0.5312,0.7247,,0,0,TRUE,TRUE
2021,5,t,6185,2105.7378,-4207.4755,-4194.0158,0.497,,116.1382,0,0,TRUE,FALSE
2021,5,frank,6185,2079.3225,-4156.6449,-4149.915,0.5105,0.7067,,0,0,TRUE,FALSE
2021,5,gaussian,6185,2105.9664,-4209.9328,-4203.2029,0.4967,0.6864,,0,0,TRUE,TRUE
2021,4,t,7468,2940.2642,-5876.5285,-5862.6917,0.5295,,113.3368,1e-04,1e-04,TRUE,FALSE
2021,4,frank,7468,2942.5808,-5883.1616,-5876.2432,0.5471,0.747,,0,0,TRUE,TRUE
2021,4,gaussian,7468,2940.3072,-5878.6144,-5871.696,0.5291,0.7225,,0,0,TRUE,FALSE
