YEAR,GRADE,WIDA_LEVEL,n,kendall,ilearn_pctile_median,p_ilearn_proficient,content
2018,8,WIDA Level 2,430,0.0481,23.2485,0.0093,MATHEMATICS
2018,8,WIDA Level 3,1236,0.1335,46.9153,0.021,MATHEMATICS
2018,8,WIDA Level 4,422,0.0725,66.8526,0.0758,MATHEMATICS
2018,8,WIDA Level 4.3,471,0.1683,77.2395,0.1932,MATHEMATICS
2018,8,WIDA Level 5,78,0.2509,94.2227,0.5385,MATHEMATICS
2019,3,WIDA Level 1,440,0.0719,7.4609,0.0455,MATHEMATICS
2019,3,WIDA Level 2,841,0.1207,17.5326,0.0476,MATHEMATICS
2019,3,WIDA Level 3,3250,0.2406,40.7943,0.2345,MATHEMATICS
2019,3,WIDA Level 4,1069,0.0814,60.4948,0.479,MATHEMATICS
2019,3,WIDA Level 4.3,1645,0.1566,76.7773,0.7337,MATHEMATICS
2019,3,WIDA Level 5,425,0.1443,89.1536,0.8871,MATHEMATICS
2019,4,WIDA Level 1,203,0.0234,7.9812,0.0296,MATHEMATICS
2019,4,WIDA Level 2,305,0.0295,10.9324,0.0197,MATHEMATICS
2019,4,WIDA Level 3,1726,0.2291,23.6437,0.0672,MATHEMATICS
2019,4,WIDA Level 4,1062,0.1257,40.8056,0.1582,MATHEMATICS
2019,4,WIDA Level 4.3,2621,0.1773,58.7923,0.3384,MATHEMATICS
2019,4,WIDA Level 5,1293,0.1531,80.5275,0.6411,MATHEMATICS
2019,4,WIDA Level 6,125,0.1271,91.5485,0.864,MATHEMATICS
2019,5,WIDA Level 1,194,-0.0192,12.6063,0.0155,MATHEMATICS
2019,5,WIDA Level 2,272,0.1201,10.9142,0.0221,MATHEMATICS
2019,5,WIDA Level 3,1283,0.1746,26.196,0.0405,MATHEMATICS
2019,5,WIDA Level 4,858,0.0948,42.5142,0.0862,MATHEMATICS
2019,5,WIDA Level 4.3,2063,0.1591,60.2144,0.2012,MATHEMATICS
2019,5,WIDA Level 5,916,0.1513,79.7395,0.4552,MATHEMATICS
2019,5,WIDA Level 6,57,0.1076,95.2516,0.807,MATHEMATICS
