u,v,C,C_refl,D
0.875,0.575,0.5653,0.56875,-0.00346
0.875,0.6,0.58839,0.59204,-0.00364
0.875,0.625,0.61154,0.61486,-0.00332
0.875,0.65,0.63415,0.63695,-0.0028
0.875,0.675,0.65636,0.65877,-0.00242
0.875,0.7,0.67855,0.67983,-0.00128
0.875,0.725,0.70011,0.70036,-0.00025
0.875,0.75,0.72076,0.72031,0.00044
0.875,0.775,0.74118,0.73928,0.0019
0.875,0.8,0.76099,0.75754,0.00345
0.875,0.825,0.77997,0.77535,0.00462
0.875,0.85,0.79793,0.79231,0.00562
0.875,0.875,0.815,0.80829,0.00671
0.875,0.9,0.8311,0.82331,0.00779
0.875,0.925,0.84545,0.83767,0.00778
0.875,0.95,0.85807,0.85137,0.0067
0.875,0.975,0.86844,0.8639,0.00454
0.9,0.025,0.02498,0.02501,-2e-05
0.9,0.05,0.04996,0.04998,-2e-05
0.9,0.075,0.0749,0.07499,-9e-05
0.9,0.1,0.09991,0.10001,-1e-04
0.9,0.125,0.12481,0.12501,-2e-04
0.9,0.15,0.14977,0.14997,-2e-04
0.9,0.175,0.17469,0.17499,-3e-04
0.9,0.2,0.19971,0.19993,-0.00022
0.9,0.225,0.22454,0.22501,-0.00047
0.9,0.25,0.24941,0.24995,-0.00055
0.9,0.275,0.27433,0.27481,-0.00047
0.9,0.3,0.29913,0.29985,-0.00072
0.9,0.325,0.32405,0.32488,-0.00083
0.9,0.35,0.34883,0.34979,-0.00096
0.9,0.375,0.37353,0.37469,-0.00116
0.9,0.4,0.39815,0.39959,-0.00143
0.9,0.425,0.42275,0.42432,-0.00157
0.9,0.45,0.44728,0.44895,-0.00167
0.9,0.475,0.47177,0.47362,-0.00184
0.9,0.5,0.49617,0.49819,-0.00202
0.9,0.525,0.52043,0.52261,-0.00217
0.9,0.55,0.54468,0.54688,-0.00221
0.9,0.575,0.56856,0.57085,-0.00229
0.9,0.6,0.59224,0.59451,-0.00227
0.9,0.625,0.616,0.61782,-0.00183
0.9,0.65,0.63926,0.64061,-0.00135
0.9,0.675,0.66217,0.66325,-0.00108
0.9,0.7,0.68522,0.68532,-9e-05
0.9,0.725,0.7077,0.70684,0.00086
0.9,0.75,0.7294,0.72792,0.00148
0.9,0.775,0.75109,0.74831,0.00278
0.9,0.8,0.77227,0.76799,0.00428
0.9,0.825,0.79257,0.78743,0.00515
0.9,0.85,0.81209,0.80597,0.00612
0.9,0.875,0.83077,0.82365,0.00712
0.9,0.9,0.84844,0.84065,0.0078
0.9,0.925,0.8646,0.85679,0.00782
0.9,0.95,0.87922,0.87249,0.00673
0.9,0.975,0.89162,0.88699,0.00463
0.925,0.025,0.02499,0.02501,-1e-05
0.925,0.05,0.05,0.04999,1e-05
0.925,0.075,0.07494,0.075,-6e-05
0.925,0.1,0.09996,0.10002,-6e-05
0.925,0.125,0.12488,0.12502,-0.00014
0.925,0.15,0.14985,0.14998,-0.00013
0.925,0.175,0.17481,0.175,-2e-04
0.925,0.2,0.19985,0.19994,-9e-05
0.925,0.225,0.22471,0.22502,-0.00031
0.925,0.25,0.24964,0.24997,-0.00034
0.925,0.275,0.27461,0.27484,-0.00023
0.925,0.3,0.29948,0.2999,-0.00041
0.925,0.325,0.32448,0.32495,-0.00047
0.925,0.35,0.34937,0.34988,-0.00052
0.925,0.375,0.3742,0.37482,-0.00062
0.925,0.4,0.399,0.39975,-0.00074
0.925,0.425,0.42374,0.42454,-0.00081
0.925,0.45,0.44846,0.44928,-0.00081
0.925,0.475,0.47322,0.4741,-0.00089
0.925,0.5,0.49784,0.49888,-0.00104
0.925,0.525,0.5224,0.52352,-0.00112
0.925,0.55,0.54701,0.54807,-0.00105
0.925,0.575,0.57128,0.57232,-0.00104
0.925,0.6,0.59548,0.59644,-0.00096
0.925,0.625,0.61976,0.62024,-0.00048
0.925,0.65,0.64361,0.64371,-1e-04
0.925,0.675,0.66729,0.66705,0.00024
0.925,0.7,0.69105,0.69,0.00105
0.925,0.725,0.7144,0.71256,0.00184
0.925,0.75,0.73715,0.73466,0.00249
0.925,0.775,0.75986,0.75624,0.00362
0.925,0.8,0.78239,0.77724,0.00515
0.925,0.825,0.80406,0.79824,0.00582
0.925,0.85,0.82521,0.8184,0.00681
0.925,0.875,0.84557,0.83787,0.00769
0.925,0.9,0.86509,0.85674,0.00835
0.925,0.925,0.88338,0.87493,0.00845
0.925,0.95,0.90024,0.89271,0.00753
0.925,0.975,0.9149,0.90948,0.00541
0.95,0.025,0.025,0.02501,-1e-05
0.95,0.05,0.05,0.04999,1e-05
0.95,0.075,0.07495,0.075,-5e-05
0.95,0.1,0.09999,0.10003,-3e-05
0.95,0.125,0.12493,0.12502,-1e-04
0.95,0.15,0.14991,0.14998,-7e-05
0.95,0.175,0.17488,0.17501,-0.00013
0.95,0.2,0.19997,0.19995,2e-05
0.95,0.225,0.22485,0.22504,-0.00019
0.95,0.25,0.24981,0.25,-0.00019
0.95,0.275,0.27484,0.27487,-3e-05
0.95,0.3,0.29978,0.29993,-0.00015
0.95,0.325,0.32482,0.325,-0.00018
0.95,0.35,0.34977,0.34995,-0.00018
0.95,0.375,0.37469,0.37492,-0.00023
0.95,0.4,0.39955,0.39989,-0.00034
0.95,0.425,0.42442,0.42476,-0.00034
0.95,0.45,0.44927,0.44957,-3e-04
0.95,0.475,0.47416,0.47449,-0.00033
0.95,0.5,0.49893,0.49936,-0.00043
0.95,0.525,0.52372,0.52413,-0.00041
0.95,0.55,0.54856,0.54886,-3e-04
0.95,0.575,0.57312,0.57345,-0.00033
0.95,0.6,0.59767,0.59794,-0.00027
0.95,0.625,0.6224,0.62224,0.00016
0.95,0.65,0.64672,0.64622,5e-04
0.95,0.675,0.67109,0.67015,0.00094
0.95,0.7,0.69546,0.694,0.00146
0.95,0.725,0.71958,0.71737,0.00221
0.95,0.75,0.74331,0.74057,0.00274
0.95,0.775,0.76697,0.76328,0.00369
0.95,0.8,0.79056,0.78556,0.005
0.95,0.825,0.81358,0.80783,0.00575
0.95,0.85,0.8363,0.82958,0.00672
0.95,0.875,0.85829,0.85076,0.00753
0.95,0.9,0.87987,0.87167,0.00821
0.95,0.925,0.9004,0.89212,0.00827
0.95,0.95,0.91975,0.91218,0.00757
0.95,0.975,0.937,0.93148,0.00552
0.975,0.025,0.025,0.02501,0
0.975,0.05,0.05001,0.04999,2e-05
0.975,0.075,0.07497,0.075,-4e-05
0.975,0.1,0.10001,0.10003,-1e-05
0.975,0.125,0.12495,0.12503,-8e-05
0.975,0.15,0.14993,0.14999,-6e-05
0.975,0.175,0.17491,0.17502,-1e-04
0.975,0.2,0.20002,0.19996,6e-05
0.975,0.225,0.22491,0.22505,-0.00014
0.975,0.25,0.24992,0.25002,-1e-04
0.975,0.275,0.27497,0.2749,7e-05
0.975,0.3,0.29993,0.29998,-5e-05
0.975,0.325,0.32502,0.32505,-3e-05
0.975,0.35,0.35002,0.35001,1e-05
0.975,0.375,0.375,0.37502,-2e-05
0.975,0.4,0.39992,0.40002,-1e-04
0.975,0.425,0.42487,0.42492,-6e-05
0.975,0.45,0.44981,0.44977,4e-05
0.975,0.475,0.47478,0.47475,3e-05
0.975,0.5,0.49967,0.49969,-2e-05
0.975,0.525,0.52459,0.52457,1e-05
0.975,0.55,0.54954,0.54946,7e-05
0.975,0.575,0.57431,0.57426,5e-05
0.975,0.6,0.59912,0.59902,9e-05
0.975,0.625,0.62417,0.62365,0.00052
0.975,0.65,0.64886,0.64824,0.00062
0.975,0.675,0.67361,0.67278,0.00083
0.975,0.7,0.69845,0.6973,0.00114
0.975,0.725,0.7232,0.72152,0.00168
0.975,0.75,0.74762,0.74568,0.00195
0.975,0.775,0.77211,0.76957,0.00254
0.975,0.8,0.79669,0.79321,0.00348
0.975,0.825,0.82094,0.81693,0.00401
0.975,0.85,0.84503,0.84038,0.00465
0.975,0.875,0.86881,0.86339,0.00542
0.975,0.9,0.89227,0.88627,0.006
0.975,0.925,0.91521,0.90904,0.00618
0.975,0.95,0.93727,0.93148,0.00579
0.975,0.975,0.95801,0.95353,0.00448
