cut,n_local,p_local,n_ge,p_ge,YEAR_T,YEAR_T1,window,GRADE
4.3,587,0.2198,653,0.3538,2024,2025,primary,7
4.4,492,0.2541,653,0.3538,2024,2025,primary,7
4.5,399,0.2782,494,0.3826,2024,2025,primary,7
4.6,323,0.3096,331,0.4441,2024,2025,primary,7
4.7,207,0.3671,254,0.4724,2024,2025,primary,7
4.8,169,0.3964,124,0.5726,2024,2025,primary,7
4.9,119,0.4622,124,0.5726,2024,2025,primary,7
5,84,0.5119,85,0.6235,2024,2025,primary,7
5.1,61,0.5738,52,0.6538,2024,2025,primary,7
5.2,35,0.6,40,,2024,2025,primary,7
5.3,26,0.6538,17,,2024,2025,primary,7
5.4,11,0.7273,17,,2024,2025,primary,7
5.5,10,0.6,14,,2024,2025,primary,7
2,304,0.0066,6631,0.1583,2024,2025,primary,6
2.1,186,0.0054,6562,0.16,2024,2025,primary,6
2.2,173,0.0058,6506,0.1612,2024,2025,primary,6
2.3,193,0,6445,0.1628,2024,2025,primary,6
2.4,192,0.0052,6389,0.1642,2024,2025,primary,6
2.5,201,0.005,6313,0.1662,2024,2025,primary,6
2.6,204,0.0049,6253,0.1676,2024,2025,primary,6
2.7,197,0,6188,0.1694,2024,2025,primary,6
2.8,216,0,6109,0.1716,2024,2025,primary,6
2.9,261,0.0038,6056,0.1731,2024,2025,primary,6
3,309,0.0065,5972,0.1755,2024,2025,primary,6
3.1,365,0.0055,5848,0.179,2024,2025,primary,6
3.2,384,0.0026,5747,0.182,2024,2025,primary,6
3.3,438,0.0023,5607,0.1866,2024,2025,primary,6
3.4,500,0.01,5309,0.1968,2024,2025,primary,6
3.5,577,0.0139,5309,0.1968,2024,2025,primary,6
3.6,656,0.0168,5107,0.2038,2024,2025,primary,6
3.7,740,0.023,4887,0.2124,2024,2025,primary,6
3.8,793,0.0303,4653,0.2222,2024,2025,primary,6
3.9,848,0.0436,4094,0.2477,2024,2025,primary,6
4,839,0.0501,4094,0.2477,2024,2025,primary,6
4.1,824,0.0704,3805,0.262,2024,2025,primary,6
4.2,810,0.0901,3528,0.2783,2024,2025,primary,6
4.3,801,0.1149,2995,0.3085,2024,2025,primary,6
4.4,981,0.1346,2995,0.3085,2024,2025,primary,6
4.5,973,0.1583,2727,0.3264,2024,2025,primary,6
4.6,980,0.1806,2289,0.36,2024,2025,primary,6
4.7,819,0.221,2022,0.3808,2024,2025,primary,6
4.8,787,0.2478,1470,0.4374,2024,2025,primary,6
4.9,726,0.2893,1470,0.4374,2024,2025,primary,6
5,561,0.3262,1235,0.4656,2024,2025,primary,6
5.1,503,0.3499,1021,0.4927,2024,2025,primary,6
5.2,397,0.3703,909,0.5061,2024,2025,primary,6
5.3,432,0.3889,624,0.5705,2024,2025,primary,6
5.4,348,0.4339,624,0.5705,2024,2025,primary,6
5.5,353,0.4759,477,0.6122,2024,2025,primary,6
2,338,0.003,8107,0.2215,2024,2025,primary,5
2.1,194,0,8051,0.2231,2024,2025,primary,5
2.2,213,0,7985,0.2249,2024,2025,primary,5
2.3,223,0,7913,0.227,2024,2025,primary,5
2.4,222,0.0045,7838,0.2291,2024,2025,primary,5
2.5,237,0.0042,7762,0.2314,2024,2025,primary,5
2.6,264,0.0038,7691,0.2334,2024,2025,primary,5
2.7,282,0,7601,0.2362,2024,2025,primary,5
2.8,308,0,7498,0.2394,2024,2025,primary,5
2.9,361,0.0028,7409,0.2423,2024,2025,primary,5
3,427,0.0047,7293,0.2461,2024,2025,primary,5
3.1,500,0.006,7137,0.2514,2024,2025,primary,5
3.2,539,0.0186,6982,0.2568,2024,2025,primary,5
3.3,601,0.0233,6793,0.2638,2024,2025,primary,5
3.4,672,0.0327,6381,0.2788,2024,2025,primary,5
3.5,757,0.0343,6381,0.2788,2024,2025,primary,5
3.6,809,0.042,6121,0.2892,2024,2025,primary,5
3.7,883,0.0408,5841,0.301,2024,2025,primary,5
3.8,981,0.0459,5572,0.3132,2024,2025,primary,5
3.9,1085,0.0682,4860,0.3525,2024,2025,primary,5
4,1044,0.0948,4860,0.3525,2024,2025,primary,5
4.1,977,0.1208,4487,0.3724,2024,2025,primary,5
4.2,956,0.1266,4194,0.3898,2024,2025,primary,5
4.3,984,0.1494,3531,0.439,2024,2025,primary,5
4.4,1164,0.1821,3531,0.439,2024,2025,primary,5
4.5,1104,0.2301,3210,0.4636,2024,2025,primary,5
4.6,1079,0.2549,2719,0.5086,2024,2025,primary,5
4.7,880,0.3045,2427,0.534,2024,2025,primary,5
4.8,853,0.3388,1839,0.6063,2024,2025,primary,5
4.9,799,0.403,1839,0.6063,2024,2025,primary,5
5,667,0.4558,1574,0.6398,2024,2025,primary,5
5.1,596,0.4866,1332,0.6689,2024,2025,primary,5
5.2,475,0.5347,1172,0.692,2024,2025,primary,5
5.3,447,0.5794,857,0.7433,2024,2025,primary,5
5.4,393,0.6463,857,0.7433,2024,2025,primary,5
5.5,362,0.6519,725,0.7614,2024,2025,primary,5
2,460,0.0152,7585,0.2461,2024,2025,primary,4
2.1,316,0.0222,7474,0.2494,2024,2025,primary,4
2.2,308,0.0162,7387,0.2522,2024,2025,primary,4
2.3,391,0.0128,7269,0.2559,2024,2025,primary,4
2.4,408,0.0147,7166,0.2594,2024,2025,primary,4
2.5,485,0.0227,6996,0.2656,2024,2025,primary,4
2.6,447,0.0268,6861,0.2702,2024,2025,primary,4
2.7,505,0.0198,6681,0.2766,2024,2025,primary,4
2.8,491,0.0265,6549,0.2819,2024,2025,primary,4
2.9,612,0.0245,6356,0.2901,2024,2025,primary,4
3,667,0.0315,6190,0.2964,2024,2025,primary,4
3.1,794,0.0378,5937,0.3084,2024,2025,primary,4
3.2,864,0.0463,5689,0.3204,2024,2025,primary,4
3.3,945,0.0656,5396,0.3345,2024,2025,primary,4
3.4,1045,0.0746,4744,0.3712,2024,2025,primary,4
3.5,1130,0.1106,4744,0.3712,2024,2025,primary,4
3.6,1216,0.1357,4351,0.3969,2024,2025,primary,4
3.7,1246,0.1677,3943,0.4225,2024,2025,primary,4
3.8,1247,0.1836,3528,0.4524,2024,2025,primary,4
3.9,1236,0.2128,2696,0.533,2024,2025,primary,4
4,1111,0.2601,2696,0.533,2024,2025,primary,4
4.1,984,0.3323,2292,0.5816,2024,2025,primary,4
4.2,824,0.4078,1994,0.6163,2024,2025,primary,4
4.3,743,0.4563,1468,0.6792,2024,2025,primary,4
4.4,665,0.4872,1468,0.6792,2024,2025,primary,4
4.5,624,0.5417,1251,0.7114,2024,2025,primary,4
4.6,571,0.6007,1047,0.7507,2024,2025,primary,4
4.7,506,0.6462,844,0.7808,2024,2025,primary,4
4.8,420,0.6976,541,0.8484,2024,2025,primary,4
4.9,365,0.7425,541,0.8484,2024,2025,primary,4
5,280,0.8107,424,0.8632,2024,2025,primary,4
5.1,233,0.8112,315,0.8762,2024,2025,primary,4
5.2,151,0.8212,261,0.8889,2024,2025,primary,4
5.3,149,0.8523,164,0.9268,2024,2025,primary,4
5.4,109,0.8991,164,0.9268,2024,2025,primary,4
5.5,103,0.9126,112,0.9375,2024,2025,primary,4
2,629,0.0079,7699,0.2356,2024,2025,primary,3
2.1,485,0.0124,7552,0.2401,2024,2025,primary,3
2.2,501,0.018,7413,0.2442,2024,2025,primary,3
2.3,572,0.021,7214,0.2506,2024,2025,primary,3
2.4,568,0.0229,7051,0.2559,2024,2025,primary,3
2.5,707,0.0269,6841,0.2628,2024,2025,primary,3
2.6,721,0.0222,6646,0.2701,2024,2025,primary,3
2.7,828,0.0302,6344,0.2814,2024,2025,primary,3
2.8,801,0.0337,6120,0.2912,2024,2025,primary,3
2.9,942,0.0456,5818,0.3042,2024,2025,primary,3
3,972,0.0514,5543,0.3172,2024,2025,primary,3
3.1,1070,0.071,5178,0.3358,2024,2025,primary,3
3.2,1104,0.0951,4846,0.3549,2024,2025,primary,3
3.3,1177,0.1181,4473,0.376,2024,2025,primary,3
3.4,1211,0.1387,3669,0.4309,2024,2025,primary,3
3.5,1224,0.174,3669,0.4309,2024,2025,primary,3
3.6,1214,0.2166,3262,0.4641,2024,2025,primary,3
3.7,1219,0.2781,2850,0.4986,2024,2025,primary,3
3.8,1165,0.3313,2455,0.5369,2024,2025,primary,3
3.9,1054,0.3909,1685,0.6142,2024,2025,primary,3
4,873,0.4296,1685,0.6142,2024,2025,primary,3
4.1,693,0.469,1401,0.6467,2024,2025,primary,3
4.2,608,0.523,1170,0.6838,2024,2025,primary,3
4.3,547,0.5704,793,0.7415,2024,2025,primary,3
4.4,498,0.6245,793,0.7415,2024,2025,primary,3
4.5,405,0.6395,623,0.7833,2024,2025,primary,3
4.6,321,0.7072,494,0.8077,2024,2025,primary,3
4.7,265,0.7509,388,0.8479,2024,2025,primary,3
4.8,231,0.8268,229,0.8734,2024,2025,primary,3
4.9,190,0.8421,229,0.8734,2024,2025,primary,3
5,142,0.8521,157,0.879,2024,2025,primary,3
5.1,96,0.8438,112,0.9018,2024,2025,primary,3
5.2,67,0.8806,87,0.908,2024,2025,primary,3
5.3,48,0.875,45,,2024,2025,primary,3
5.4,35,0.9429,45,,2024,2025,primary,3
5.5,23,0.913,39,,2024,2025,primary,3
