cut,label,n,ilearn_pctile_at,p_proficient_at,n_prior,ilearn_pctile_prior,p_proficient_prior
4.3,4.3 provisional,36720,72.088,0.231,24141,59.096,0.13
5,5.0 auto-exit,15907,86.071,0.397,15669,77.314,0.376
