YEAR,GRADE,WIDA_LEVEL,n,kendall,ilearn_pctile_median,ilearn_pctile_sd,ilearn_floor_share,p_ilearn_proficient,suppress
2018,8,WIDA Level 4.3,473,0.1639,82.0992,17.7663,0,0.1966,FALSE
2018,8,WIDA Level 5,78,0.2508,94.3591,12.0898,0,0.5641,FALSE
2019,3,WIDA Level 1,440,0.144,9.7667,10.8366,0.325,0.0023,FALSE
2019,3,WIDA Level 2,839,0.0855,16.6145,16.1517,0.1478,0.0072,FALSE
2019,3,WIDA Level 3,3249,0.2687,41.0412,22.6721,0.0354,0.088,FALSE
2019,3,WIDA Level 4,1066,0.082,61.9103,22.1846,0.0056,0.2711,FALSE
2019,3,WIDA Level 4.3,1644,0.1993,78.9289,18.6919,0.0012,0.5773,FALSE
2019,3,WIDA Level 5,426,0.077,91.494,12.6648,0,0.8521,FALSE
2019,4,WIDA Level 1,203,0.0067,7.2256,8.544,0.4089,0,FALSE
2019,4,WIDA Level 2,305,0.1295,11.3156,10.9063,0.2361,0,FALSE
2019,4,WIDA Level 3,1727,0.2472,23.4833,19.5976,0.0979,0.0133,FALSE
2019,4,WIDA Level 4,1062,0.1185,41.9155,21.956,0.0217,0.0565,FALSE
2019,4,WIDA Level 4.3,2619,0.2037,60.8862,22.4175,0.0065,0.1978,FALSE
2019,4,WIDA Level 5,1293,0.1912,83.4492,17.45,0,0.5638,FALSE
2019,4,WIDA Level 6,125,0.2061,94.3558,10.4538,0,0.832,FALSE
2019,5,WIDA Level 1,194,0.0776,7.5846,11.8881,0.3608,0,FALSE
2019,5,WIDA Level 2,272,0.0902,11.5276,11.6491,0.2684,0,FALSE
2019,5,WIDA Level 3,1282,0.1878,26.4044,21.1399,0.0858,0.0094,FALSE
2019,5,WIDA Level 4,859,0.0515,43.0445,22.5765,0.0244,0.0291,FALSE
2019,5,WIDA Level 4.3,2063,0.1884,61.6516,23.5475,0.0058,0.1386,FALSE
2019,5,WIDA Level 5,915,0.182,80.9233,19.0637,0,0.3923,FALSE
2019,5,WIDA Level 6,57,0.1116,94.9406,13.2955,0,0.7193,FALSE
2019,6,WIDA Level 1,310,0.1047,14.1365,14.6477,0.2097,0.0032,FALSE
2019,6,WIDA Level 2,592,0.1394,24.2201,20.8714,0.1166,0,FALSE
2019,6,WIDA Level 3,1673,0.214,50.0836,24.6142,0.0251,0.0251,FALSE
2019,6,WIDA Level 4,555,0.1137,70.6964,22.923,0.0036,0.1027,FALSE
2019,6,WIDA Level 4.3,420,0.2089,84.3733,20.3498,0.0048,0.2643,FALSE
2019,6,WIDA Level 5,36,,,,,,TRUE
2019,7,WIDA Level 1,324,0.0163,13.6348,13.7988,0.1852,0,FALSE
2019,7,WIDA Level 2,547,0.1305,26.2783,19.4975,0.106,0.0018,FALSE
2019,7,WIDA Level 3,1146,0.2075,50.5913,23.5252,0.0209,0.0279,FALSE
2019,7,WIDA Level 4,385,0.1407,72.0696,20.7325,0,0.0935,FALSE
2019,7,WIDA Level 4.3,366,0.2161,84.2609,16.4568,0.0027,0.276,FALSE
2019,7,WIDA Level 5,101,0.1972,96.8,12.1459,0,0.7129,FALSE
2019,8,WIDA Level 1,333,0.1347,11.3053,13.95,0.2432,0,FALSE
2019,8,WIDA Level 2,469,0.1348,26.8873,18.8153,0.0832,0,FALSE
2019,8,WIDA Level 3,1015,0.217,50.5392,23.1234,0.0128,0.0207,FALSE
2019,8,WIDA Level 4,346,0.0548,69.2451,20.1608,0.0029,0.0751,FALSE
2019,8,WIDA Level 4.3,424,0.2144,81.8706,18.8528,0,0.2524,FALSE
2019,8,WIDA Level 5,95,0.189,94.4031,12.2943,0,0.5684,FALSE
2021,3,WIDA Level 1,621,0.0673,13.1083,13.6178,0.2206,0,FALSE
2021,3,WIDA Level 2,1200,0.1665,22.6242,17.5973,0.1183,0.0033,FALSE
2021,3,WIDA Level 3,3420,0.2592,46.2548,23.4906,0.0295,0.0661,FALSE
2021,3,WIDA Level 4,984,0.1003,70.0828,21.9335,0.0041,0.2612,FALSE
2021,3,WIDA Level 4.3,1365,0.2207,82.8726,17.8154,0,0.5201,FALSE
2021,3,WIDA Level 5,256,0.1161,93.1497,11.7489,0,0.7734,FALSE
2021,4,WIDA Level 1,302,0.0736,9.9411,10.9635,0.298,0,FALSE
2021,4,WIDA Level 2,495,-3e-04,14.8413,12.9468,0.202,0,FALSE
2021,4,WIDA Level 3,2209,0.2299,29.2476,20.8954,0.0711,0.0122,FALSE
2021,4,WIDA Level 4,1060,0.1033,48.2059,21.9222,0.0151,0.0528,FALSE
2021,4,WIDA Level 4.3,2078,0.1866,66.3007,21.332,0.0024,0.2016,FALSE
2021,4,WIDA Level 5,1130,0.1809,83.7462,17.6558,9e-04,0.5027,FALSE
2021,4,WIDA Level 6,194,0.2602,94.0487,12.5337,0,0.7887,FALSE
2021,5,WIDA Level 1,270,0.0539,10.4833,11.4032,0.2815,0,FALSE
2021,5,WIDA Level 2,417,0.0601,13.1911,13.1831,0.2422,0,FALSE
2021,5,WIDA Level 3,1796,0.2277,31.5875,22.128,0.059,0.0078,FALSE
2021,5,WIDA Level 4,846,0.0416,47.8257,23.4781,0.0225,0.0225,FALSE
2021,5,WIDA Level 4.3,1797,0.1652,64.8965,22.5035,0.0056,0.0985,FALSE
2021,5,WIDA Level 5,956,0.1705,83.9234,18.5154,0.001,0.3023,FALSE
2021,5,WIDA Level 6,103,0.2007,93.6389,13.3722,0,0.6019,FALSE
2021,6,WIDA Level 1,272,0.0789,10.1444,11.3351,0.3088,0,FALSE
2021,6,WIDA Level 2,842,0.1742,18.9115,17.9044,0.1413,0.0012,FALSE
2021,6,WIDA Level 3,2959,0.2626,50.6839,24.4025,0.0182,0.0308,FALSE
2021,6,WIDA Level 4,615,0.0807,75.8834,21.8562,0.0033,0.1593,FALSE
2021,6,WIDA Level 4.3,501,0.2205,86.6356,18.5703,0.002,0.3014,FALSE
2021,6,WIDA Level 5,72,0.2143,96.0201,10.9222,0,0.6806,FALSE
2021,7,WIDA Level 1,352,-0.006,10.6083,11.2076,0.2756,0,FALSE
2021,7,WIDA Level 2,788,0.1956,20.9962,18.1042,0.1206,0,FALSE
2021,7,WIDA Level 3,2476,0.2486,49.5991,24.0896,0.0222,0.0222,FALSE
2021,7,WIDA Level 4,590,0.0427,71.2568,22.0203,0.0034,0.1034,FALSE
2021,7,WIDA Level 4.3,639,0.1563,82.5717,18.1495,0.0031,0.2191,FALSE
2021,7,WIDA Level 5,134,0.1823,94.558,15.4708,0,0.5746,FALSE
2021,8,WIDA Level 1,380,0.1079,12.5652,13.9107,0.2289,0,FALSE
2021,8,WIDA Level 2,690,0.1106,25.0456,19.5735,0.1014,0.0014,FALSE
2021,8,WIDA Level 3,1702,0.2426,50.8081,23.9803,0.0182,0.0135,FALSE
2021,8,WIDA Level 4,392,0.0788,71.5589,19.5478,0,0.0714,FALSE
2021,8,WIDA Level 4.3,518,0.1277,82.4101,19.3428,0.0039,0.1776,FALSE
2021,8,WIDA Level 5,141,0.2017,94.3822,13.4585,0,0.5106,FALSE
2021,8,WIDA Level 6,12,,,,,,TRUE
2022,3,WIDA Level 1,789,0.0599,14.181,13.4732,0.2066,0,FALSE
2022,3,WIDA Level 2,1361,0.1581,21.6443,17.3013,0.119,0.0051,FALSE
2022,3,WIDA Level 3,3382,0.2812,48.6888,22.8262,0.0219,0.0973,FALSE
2022,3,WIDA Level 4,971,0.0844,71.6008,19.5827,0.001,0.3388,FALSE
2022,3,WIDA Level 4.3,1238,0.1664,83.6565,16.5333,0.0016,0.5969,FALSE
2022,3,WIDA Level 5,292,0.1799,94.0094,10.8298,0,0.8562,FALSE
2022,3,WIDA Level 6,12,,,,,,TRUE
2022,4,WIDA Level 1,402,0.0858,10.8806,10.8686,0.2935,0,FALSE
2022,4,WIDA Level 2,589,0.1362,13.655,14.3607,0.2054,0.0017,FALSE
2022,4,WIDA Level 3,2186,0.219,28.4258,19.7611,0.0686,0.0105,FALSE
2022,4,WIDA Level 4,1086,0.1286,46.5923,21.393,0.0166,0.0506,FALSE
2022,4,WIDA Level 4.3,2332,0.1893,63.5585,21.337,0.0056,0.2007,FALSE
2022,4,WIDA Level 5,1365,0.2045,82.2014,17.7356,0,0.5223,FALSE
2022,4,WIDA Level 6,329,0.1958,93.5645,11.1693,0,0.8663,FALSE
2022,5,WIDA Level 1,448,0.0869,8.9184,9.4958,0.3103,0,FALSE
2022,5,WIDA Level 2,461,0.0711,15.2352,13.1133,0.1822,0.0022,FALSE
2022,5,WIDA Level 3,1800,0.1987,31.152,20.4712,0.0567,0.0117,FALSE
2022,5,WIDA Level 4,919,0.069,50.2125,21.4656,0.0044,0.0413,FALSE
2022,5,WIDA Level 4.3,1908,0.1612,64.583,21.8895,0.0047,0.1247,FALSE
2022,5,WIDA Level 5,1115,0.2014,82.2878,17.7898,9e-04,0.3713,FALSE
2022,5,WIDA Level 6,171,0.1976,93.1335,13.9121,0,0.6725,FALSE
2022,6,WIDA Level 1,388,0.0857,9.8323,11.7716,0.2938,0,FALSE
2022,6,WIDA Level 2,774,0.1314,20.468,17.1956,0.1305,0,FALSE
2022,6,WIDA Level 3,3082,0.259,49.8166,24.5327,0.0204,0.0247,FALSE
2022,6,WIDA Level 4,752,0.0769,72.7384,21.9595,0.004,0.1423,FALSE
2022,6,WIDA Level 4.3,669,0.1632,85.496,18.7392,0,0.3064,FALSE
2022,6,WIDA Level 5,57,0.2968,97.5288,8.2167,0,0.7018,FALSE
2022,7,WIDA Level 1,473,0.0709,10.7865,12.6196,0.26,0,FALSE
2022,7,WIDA Level 2,876,0.1888,21.7998,19.1274,0.1119,0.0034,FALSE
2022,7,WIDA Level 3,2778,0.2621,48.9536,24.0653,0.0216,0.0281,FALSE
2022,7,WIDA Level 4,721,0.0998,70.9016,21.2642,0.0042,0.1082,FALSE
2022,7,WIDA Level 4.3,743,0.1589,83.2578,17.9704,0.004,0.2746,FALSE
2022,7,WIDA Level 5,135,0.2271,94.6198,12.2256,0,0.637,FALSE
2022,8,WIDA Level 1,529,0.1079,11.2971,12.0881,0.2287,0,FALSE
2022,8,WIDA Level 2,802,0.1355,22.6679,18.5106,0.101,0.0012,FALSE
2022,8,WIDA Level 3,2352,0.2352,48.0037,23.3448,0.0251,0.02,FALSE
2022,8,WIDA Level 4,670,0.1207,69.3284,21.8565,0.009,0.0925,FALSE
2022,8,WIDA Level 4.3,886,0.1389,82.8887,18.8849,0.0034,0.2427,FALSE
2022,8,WIDA Level 5,189,0.1265,90.7176,18.7884,0,0.455,FALSE
2023,3,WIDA Level 1,929,0.055,13.1096,12.2497,0.2153,0,FALSE
2023,3,WIDA Level 2,1532,0.1681,21.6122,16.0687,0.107,0,FALSE
2023,3,WIDA Level 3,3641,0.3203,49.8049,22.2463,0.017,0.0802,FALSE
2023,3,WIDA Level 4,947,0.0881,72.0654,17.9039,0,0.2946,FALSE
2023,3,WIDA Level 4.3,1279,0.1909,83.3792,15.2761,0,0.552,FALSE
2023,3,WIDA Level 5,378,0.12,93.4022,10.1555,0,0.8492,FALSE
2023,4,WIDA Level 1,470,0.0108,12.1212,11.3694,0.2234,0,FALSE
2023,4,WIDA Level 2,657,0.0526,15.1217,13.1418,0.1674,0,FALSE
2023,4,WIDA Level 3,2259,0.2543,29.5395,20.0725,0.0792,0.0115,FALSE
2023,4,WIDA Level 4,1085,0.1008,49.6421,20.7714,0.0111,0.0654,FALSE
2023,4,WIDA Level 4.3,2315,0.2007,64.6147,21.0422,0.003,0.2173,FALSE
2023,4,WIDA Level 5,1344,0.158,83.5958,15.422,0,0.5521,FALSE
2023,4,WIDA Level 6,251,0.1122,94.7208,9.4952,0,0.8645,FALSE
2023,5,WIDA Level 1,536,0.0876,9.842,11.1009,0.2929,0,FALSE
