cut,n_below,n_above,tau_below,tau_above,tau_gap,ilearn_prof_below,ilearn_prof_above,ilearn_pctile_below,ilearn_pctile_above,YEAR,GRADE,YEAR_STRATUM
3.3,1119,1755,0.2762,0.4025,0.1263,9e-04,0.1396,24.2087,67.513,2019,7,ilearn_2019
3.4,1289,1585,0.3078,0.3942,0.0864,0.0031,0.1527,26.2783,69.913,2019,7,ilearn_2019
3.5,1289,1585,0.3078,0.3942,0.0864,0.0031,0.1527,26.2783,69.913,2019,7,ilearn_2019
3.6,1405,1469,0.3313,0.3854,0.0541,0.0028,0.1647,27.8435,71.5826,2019,7,ilearn_2019
3.7,1539,1335,0.3559,0.3806,0.0246,0.0045,0.179,30.087,73.6522,2019,7,ilearn_2019
3.8,1705,1169,0.3824,0.3946,0.0122,0.0088,0.1976,32.087,75.4087,2019,7,ilearn_2019
3.9,2017,857,0.4031,0.3706,-0.0325,0.0164,0.2485,36.5739,80.4522,2019,7,ilearn_2019
4,2017,857,0.4031,0.3706,-0.0325,0.0164,0.2485,36.5739,80.4522,2019,7,ilearn_2019
4.1,2179,695,0.4132,0.3521,-0.0611,0.0225,0.2835,38.7478,83.4783,2019,7,ilearn_2019
4.2,2288,586,0.4326,0.3418,-0.0908,0.0245,0.3242,40.5217,85.287,2019,7,ilearn_2019
4.3,2478,396,0.4608,0.3362,-0.1246,0.0327,0.4167,43.4609,88.8609,2019,7,ilearn_2019
4.4,2478,396,0.4608,0.3362,-0.1246,0.0327,0.4167,43.4609,88.8609,2019,7,ilearn_2019
4.5,2536,338,0.468,0.3116,-0.1564,0.0371,0.4497,44.087,90.0522,2019,7,ilearn_2019
4.6,2609,265,0.4836,0.2993,-0.1844,0.0422,0.5132,45.6348,91.8435,2019,7,ilearn_2019
4.7,2657,217,0.4926,0.3029,-0.1897,0.0474,0.553,46.3478,92.6783,2019,7,ilearn_2019
4.8,2741,133,0.5066,0.1883,-0.3183,0.0562,0.6917,47.8261,96.2087,2019,7,ilearn_2019
4.9,2741,133,0.5066,0.1883,-0.3183,0.0562,0.6917,47.8261,96.2087,2019,7,ilearn_2019
5,2768,106,0.5132,0.2135,-0.2997,0.0614,0.717,48.4174,96.8,2019,7,ilearn_2019
5.1,2784,90,0.5171,0.1534,-0.3637,0.0639,0.7556,48.4174,96.9913,2019,7,ilearn_2019
5.2,2801,73,0.5219,0.1455,-0.3764,0.0682,0.7534,48.4174,97.2174,2019,7,ilearn_2019
5.3,2834,40,0.5288,,,0.0745,,49.3913,,2019,7,ilearn_2019
5.4,2834,40,0.5288,,,0.0745,,49.3913,,2019,7,ilearn_2019
5.5,2844,30,0.5315,,,0.0774,,49.3913,,2019,7,ilearn_2019
2,49,3117,,0.458,,,0.0561,,50.2368,2017,4,istep_contrast
2.1,53,3113,0.086,0.4572,0.3712,0,0.0562,5.7783,51.2946,2017,4,istep_contrast
2.2,62,3104,0.1035,0.4557,0.3521,0,0.0564,5.9757,51.2946,2017,4,istep_contrast
2.3,76,3090,0.1253,0.4533,0.3279,0,0.0566,6.3625,51.2946,2017,4,istep_contrast
2.4,97,3069,0.1928,0.4504,0.2575,0,0.057,8.0518,51.2946,2017,4,istep_contrast
2.5,116,3050,0.1662,0.447,0.2808,0,0.0574,8.9201,51.7761,2017,4,istep_contrast
2.6,140,3026,0.178,0.444,0.266,0,0.0578,9.6937,52.2577,2017,4,istep_contrast
2.7,170,2996,0.1446,0.4379,0.2933,0,0.0584,10.1831,52.2577,2017,4,istep_contrast
2.8,194,2972,0.16,0.4354,0.2754,0,0.0589,10.7278,53.3786,2017,4,istep_contrast
2.9,232,2934,0.2001,0.4309,0.2308,0,0.0596,12.1408,53.3786,2017,4,istep_contrast
3,275,2891,0.1817,0.4254,0.2436,0,0.0605,12.1408,53.3786,2017,4,istep_contrast
3.1,340,2826,0.2264,0.4213,0.1949,0,0.0619,14.5564,55.0837,2017,4,istep_contrast
3.2,393,2773,0.2085,0.4134,0.2049,0,0.0631,14.5564,55.0837,2017,4,istep_contrast
3.3,460,2706,0.213,0.4055,0.1925,0,0.0647,16.1825,56.0783,2017,4,istep_contrast
3.4,657,2509,0.2578,0.3988,0.141,0.0015,0.0694,19.4032,58.5412,2017,4,istep_contrast
3.5,657,2509,0.2578,0.3988,0.141,0.0015,0.0694,19.4032,58.5412,2017,4,istep_contrast
3.6,807,2359,0.2434,0.3854,0.1419,0.0037,0.0729,22.1029,60.8462,2017,4,istep_contrast
3.7,990,2176,0.2295,0.3643,0.1349,0.004,0.0786,23.9343,62.8986,2017,4,istep_contrast
3.8,1202,1964,0.241,0.3409,0.0999,0.005,0.086,25.8131,66.1983,2017,4,istep_contrast
3.9,1695,1471,0.2884,0.3045,0.0161,0.0083,0.1094,30.9283,71.6767,2017,4,istep_contrast
4,1695,1471,0.2884,0.3045,0.0161,0.0083,0.1094,30.9283,71.6767,2017,4,istep_contrast
4.1,1956,1210,0.3228,0.2983,-0.0245,0.0112,0.1264,34.7805,74.2817,2017,4,istep_contrast
4.2,2129,1037,0.3304,0.2635,-0.0669,0.0117,0.1446,36.6751,77.3445,2017,4,istep_contrast
4.3,2457,709,0.3755,0.2776,-0.0979,0.0171,0.1876,41.1588,81.7967,2017,4,istep_contrast
4.4,2457,709,0.3755,0.2776,-0.0979,0.0171,0.1876,41.1588,81.7967,2017,4,istep_contrast
4.5,2592,574,0.3901,0.2959,-0.0943,0.0185,0.2213,42.4219,83.2176,2017,4,istep_contrast
4.6,2759,407,0.4035,0.2614,-0.1421,0.021,0.2875,44.5848,87.0856,2017,4,istep_contrast
4.7,2857,309,0.4141,0.2793,-0.1349,0.027,0.3172,45.7373,89.059,2017,4,istep_contrast
4.8,2988,178,0.4321,0.2549,-0.1772,0.0351,0.3933,46.8582,92.3903,2017,4,istep_contrast
4.9,2988,178,0.4321,0.2549,-0.1772,0.0351,0.3933,46.8582,92.3903,2017,4,istep_contrast
5,3037,129,0.4405,0.2286,-0.212,0.0395,0.4264,47.8686,93.306,2017,4,istep_contrast
5.1,3083,83,0.4499,0.2868,-0.163,0.0431,0.506,49.0212,94.8374,2017,4,istep_contrast
5.2,3102,64,0.4535,0.286,-0.1675,0.0451,0.5469,49.0212,96.1793,2017,4,istep_contrast
5.3,3130,36,0.4604,,,0.0486,,49.0212,,2017,4,istep_contrast
5.4,3130,36,0.4604,,,0.0486,,49.0212,,2017,4,istep_contrast
5.5,3135,31,0.4617,,,0.0488,,49.0212,,2017,4,istep_contrast
2,142,3523,0.1015,0.5173,0.4158,0,0.0761,5.9465,52.305,2018,5,istep_contrast
2.1,162,3503,0.1539,0.5142,0.3603,0,0.0765,6.2057,52.305,2018,5,istep_contrast
2.2,175,3490,0.1103,0.5113,0.401,0,0.0768,6.2057,52.305,2018,5,istep_contrast
2.3,189,3476,0.1439,0.5102,0.3664,0,0.0771,6.2057,52.305,2018,5,istep_contrast
2.4,205,3460,0.1757,0.5079,0.3322,0,0.0775,6.7785,52.305,2018,5,istep_contrast
