YEAR,GRADE,WIDA_LEVEL,n,kendall,ilearn_pctile_median,p_ilearn_proficient
2021,5,WIDA Level 4,1055,0.0923,42.2127,0.0531
2021,5,WIDA Level 4.3,2407,0.1767,59.8426,0.1786
2021,5,WIDA Level 5,1343,0.2009,81.1694,0.487
2021,5,WIDA Level 6,213,0.2104,94.0171,0.8216
2021,6,WIDA Level 1,273,0.0102,8.888,0
2021,6,WIDA Level 2,326,0.1318,11.9805,0.0031
2021,6,WIDA Level 3,1444,0.2037,28.9123,0.0097
2021,6,WIDA Level 4,857,0.0722,45.9578,0.0502
2021,6,WIDA Level 4.3,2046,0.1611,62.1753,0.1359
2021,6,WIDA Level 5,1097,0.1219,79.8539,0.3409
2021,6,WIDA Level 6,116,0.1725,92.1307,0.6293
2021,7,WIDA Level 1,288,0.0424,11.6291,0
2021,7,WIDA Level 2,638,0.1521,19.2802,0
2021,7,WIDA Level 3,2380,0.2167,47.2848,0.0307
2021,7,WIDA Level 4,754,0.0554,71.1429,0.1207
2021,7,WIDA Level 4.3,623,0.1645,79.5517,0.244
2021,7,WIDA Level 5,65,0.1872,94.0855,0.6154
2021,8,WIDA Level 1,341,0.1371,13.1183,0
2021,8,WIDA Level 2,647,0.13,27.0019,0.0015
2021,8,WIDA Level 3,1587,0.2187,50.4099,0.0227
2021,8,WIDA Level 4,458,0.0841,67.3271,0.0873
2021,8,WIDA Level 4.3,529,0.0995,83.8344,0.2533
2021,8,WIDA Level 5,94,0.1415,95.4906,0.6702
2022,3,WIDA Level 1,618,0.1083,14.5674,0.0049
2022,3,WIDA Level 2,1723,0.1652,26.2296,0.0197
2022,3,WIDA Level 3,3289,0.2657,54.5144,0.1925
2022,3,WIDA Level 4,630,0.101,76.4944,0.473
2022,3,WIDA Level 4.3,791,0.1598,87.7665,0.708
2022,3,WIDA Level 5,123,0.1041,95.1303,0.878
2022,4,WIDA Level 1,572,0.082,11.6524,0.0052
2022,4,WIDA Level 2,1154,0.1496,22.5411,0.0087
2022,4,WIDA Level 3,3337,0.2488,46.0105,0.1073
2022,4,WIDA Level 4,958,0.1341,68.3739,0.334
2022,4,WIDA Level 4.3,1332,0.1862,81.7314,0.5698
2022,4,WIDA Level 5,239,0.0861,92.6662,0.8201
2022,5,WIDA Level 1,271,0.1004,7.8944,0
2022,5,WIDA Level 2,476,0.0896,12.9619,0.0042
2022,5,WIDA Level 3,2167,0.2444,29.9435,0.0351
2022,5,WIDA Level 4,1032,0.0771,49.3519,0.1047
2022,5,WIDA Level 4.3,2027,0.1709,64.9959,0.2694
2022,5,WIDA Level 5,1095,0.1583,82.1704,0.5763
2022,5,WIDA Level 6,183,0.2043,91.5954,0.8197
2022,6,WIDA Level 1,243,0.0331,7.8167,0
2022,6,WIDA Level 2,400,0.0639,16.225,0
2022,6,WIDA Level 3,1737,0.1859,33.1667,0.0127
2022,6,WIDA Level 4,829,0.0595,48.7667,0.0555
2022,6,WIDA Level 4.3,1754,0.1459,65.4417,0.1585
2022,6,WIDA Level 5,934,0.1623,79.95,0.3662
2022,6,WIDA Level 6,102,0.1829,92.7292,0.6275
2022,7,WIDA Level 1,248,0.0649,11.0116,0
2022,7,WIDA Level 2,796,0.1841,20.5963,0.0038
2022,7,WIDA Level 3,2888,0.2328,50.8463,0.0416
2022,7,WIDA Level 4,591,0.0596,73.1746,0.1794
2022,7,WIDA Level 4.3,489,0.1815,85.6327,0.3456
2022,7,WIDA Level 5,66,0.2214,95.1683,0.6515
2022,8,WIDA Level 1,317,0.0857,10.6354,0
2022,8,WIDA Level 2,751,0.1616,21.5288,0.0027
2022,8,WIDA Level 3,2438,0.2315,48.5764,0.0394
2022,8,WIDA Level 4,575,0.0227,71.0233,0.1461
2022,8,WIDA Level 4.3,628,0.1197,81.2152,0.2723
2022,8,WIDA Level 5,127,0.1905,94.2129,0.6299
2022,8,WIDA Level 6,10,,,
2023,3,WIDA Level 1,785,0.0737,14.6585,0.0166
2023,3,WIDA Level 2,1890,0.1996,25.8634,0.0175
2023,3,WIDA Level 3,3681,0.2924,56.6946,0.1701
2023,3,WIDA Level 4,604,0.055,79.5619,0.4934
2023,3,WIDA Level 4.3,686,0.1414,88.6147,0.7289
2023,3,WIDA Level 5,106,0.1561,96.6269,0.9151
2023,4,WIDA Level 1,740,0.0445,13.7971,0.0081
2023,4,WIDA Level 2,1291,0.1503,22.1477,0.0062
2023,4,WIDA Level 3,3284,0.279,48.9352,0.1203
2023,4,WIDA Level 4,942,0.0857,69.9987,0.3599
2023,4,WIDA Level 4.3,1200,0.1281,81.9179,0.59
2023,4,WIDA Level 5,278,0.1636,93.7726,0.8525
2023,4,WIDA Level 6,12,,,
2023,5,WIDA Level 1,367,0.132,8.2687,0.0027
2023,5,WIDA Level 2,562,0.0725,13.176,0.0036
2023,5,WIDA Level 3,2110,0.2126,28.2737,0.0246
2023,5,WIDA Level 4,1072,0.0942,47.5651,0.0793
2023,5,WIDA Level 4.3,2245,0.1583,64.0648,0.2303
2023,5,WIDA Level 5,1315,0.1807,81.2531,0.5338
2023,5,WIDA Level 6,316,0.1839,93.6968,0.8386
2023,6,WIDA Level 1,401,0.0199,9.2277,0.0025
2023,6,WIDA Level 2,439,0.0465,13.2943,0.0046
2023,6,WIDA Level 3,1726,0.1856,31.3925,0.0191
2023,6,WIDA Level 4,899,0.0765,50.5093,0.0712
2023,6,WIDA Level 4.3,1855,0.1331,62.557,0.1601
2023,6,WIDA Level 5,1089,0.1937,80.7692,0.3958
2023,6,WIDA Level 6,168,0.2053,93.6227,0.6488
2023,7,WIDA Level 1,330,-0.014,11.9113,0
2023,7,WIDA Level 2,731,0.1457,20.8723,0.0014
2023,7,WIDA Level 3,2976,0.2507,48.7814,0.0323
2023,7,WIDA Level 4,720,0.0654,71.9809,0.1528
2023,7,WIDA Level 4.3,644,0.1611,83.8556,0.2624
2023,7,WIDA Level 5,52,0.1128,95.7944,0.5962
2023,8,WIDA Level 1,412,0.1683,10.7292,0.0024
2023,8,WIDA Level 2,828,0.1652,21.7858,0.006
2023,8,WIDA Level 3,2701,0.2581,48.8271,0.047
2023,8,WIDA Level 4,702,0.0868,70.2582,0.1553
2023,8,WIDA Level 4.3,721,0.1813,83.6152,0.3495
2023,8,WIDA Level 5,127,0.1847,92.6987,0.5827
2024,3,WIDA Level 1,799,0.1035,13.2067,0.01
2024,3,WIDA Level 2,1975,0.1942,27.1706,0.0218
2024,3,WIDA Level 3,3736,0.3001,56.4361,0.1743
2024,3,WIDA Level 4,580,0.151,80.4171,0.5224
2024,3,WIDA Level 4.3,699,0.1802,87.8597,0.701
2024,3,WIDA Level 5,122,0.088,96.6589,0.9262
2024,3,WIDA Level 6,12,,,
2024,4,WIDA Level 1,862,0.0627,12.822,0.0035
2024,4,WIDA Level 2,1452,0.1397,22.1553,0.011
2024,4,WIDA Level 3,3519,0.2783,49.4692,0.1344
2024,4,WIDA Level 4,919,0.0658,70.4854,0.3896
2024,4,WIDA Level 4.3,1253,0.2034,82.0193,0.6193
2024,4,WIDA Level 5,369,0.1184,92.8137,0.8672
2024,5,WIDA Level 1,419,0.0835,9.6209,0.0048
