YEAR_T,YEAR_T1,window,GRADE,role,WIDA_EXIT_BAND,n,sgp_median,p_sgp_below_35,p_sgp_above_65,suppress
2023,2024,primary,5,stayer,<4.3,3768,47,0.363,0.307,FALSE
2023,2024,primary,5,stayer,4.3-4.9,1975,57,0.269,0.41,FALSE
2023,2024,primary,5,stayer,>=5.0,10,,,,TRUE
2023,2024,primary,6,exiter,<4.3,66,49.5,0.318,0.409,FALSE
2023,2024,primary,6,exiter,4.3-4.9,12,,,,TRUE
2023,2024,primary,6,exiter,>=5.0,48,,,,TRUE
2023,2024,primary,6,never_el,"",72225,50,0.343,0.347,FALSE
2023,2024,primary,6,stayer,<4.3,5083,45,0.381,0.302,FALSE
2023,2024,primary,6,stayer,4.3-4.9,593,54,0.287,0.379,FALSE
2023,2024,primary,7,exiter,<4.3,55,31,0.509,0.309,FALSE
2023,2024,primary,7,exiter,>=5.0,103,71,0.262,0.553,FALSE
2023,2024,primary,7,never_el,"",72783,50,0.343,0.347,FALSE
2023,2024,primary,7,stayer,<4.3,4987,45,0.394,0.304,FALSE
2023,2024,primary,7,stayer,4.3-4.9,715,56,0.259,0.394,FALSE
2024,2025,primary,3,exiter,<4.3,45,,,,TRUE
2024,2025,primary,3,exiter,4.3-4.9,223,50,0.323,0.323,FALSE
2024,2025,primary,3,exiter,>=5.0,419,60,0.248,0.453,FALSE
2024,2025,primary,3,never_el,"",69602,50,0.343,0.349,FALSE
2024,2025,primary,3,stayer,<4.3,6858,45,0.379,0.298,FALSE
2024,2025,primary,3,stayer,4.3-4.9,1062,55,0.285,0.378,FALSE
2024,2025,primary,4,exiter,<4.3,24,,,,TRUE
2024,2025,primary,4,exiter,4.3-4.9,236,45,0.386,0.335,FALSE
2024,2025,primary,4,exiter,>=5.0,1559,59,0.273,0.418,FALSE
2024,2025,primary,4,never_el,"",70824,50,0.346,0.345,FALSE
2024,2025,primary,4,stayer,<4.3,4905,46,0.377,0.3,FALSE
2024,2025,primary,4,stayer,4.3-4.9,2068,54,0.311,0.389,FALSE
2024,2025,primary,4,stayer,>=5.0,14,,,,TRUE
2024,2025,primary,5,exiter,<4.3,43,,,,TRUE
2024,2025,primary,5,exiter,4.3-4.9,175,47,0.383,0.297,FALSE
2024,2025,primary,5,exiter,>=5.0,1216,61,0.248,0.446,FALSE
2024,2025,primary,5,never_el,"",70595,50,0.347,0.343,FALSE
2024,2025,primary,5,stayer,<4.3,4024,48,0.359,0.331,FALSE
2024,2025,primary,5,stayer,4.3-4.9,1856,56,0.302,0.395,FALSE
2024,2025,primary,5,stayer,>=5.0,18,,,,TRUE
2024,2025,primary,6,exiter,<4.3,53,44,0.453,0.226,FALSE
2024,2025,primary,6,exiter,4.3-4.9,94,57.5,0.245,0.394,FALSE
2024,2025,primary,6,exiter,>=5.0,84,57,0.167,0.44,FALSE
2024,2025,primary,6,never_el,"",72313,50,0.345,0.347,FALSE
2024,2025,primary,6,stayer,<4.3,5664,47,0.362,0.308,FALSE
2024,2025,primary,6,stayer,4.3-4.9,641,53,0.329,0.387,FALSE
2024,2025,primary,7,exiter,<4.3,46,,,,TRUE
2024,2025,primary,7,exiter,4.3-4.9,94,52,0.245,0.319,FALSE
2024,2025,primary,7,exiter,>=5.0,142,58.5,0.261,0.451,FALSE
2024,2025,primary,7,never_el,"",72042,50,0.344,0.346,FALSE
